relevant,entities,id,A,B,C
-1,,804735242057764864,0,0,1
-1,,802318550337748996,1,1,1
1,O O O O O O O O O O,804368239459442689,0,0,1
1,ORG PRO PRO O VUL VUL,803412818057904128,0,0,1
-1,,803131510685630464,0,0,1
1,O ORG PRO PRO PRO PRO PRO VER VER VER O ORG PRO VUL VUL,804280027756064768,0,0,1
1,O ORG O O O O PRO,804528301360500737,0,0,1
1,O O O O O O O O O O O,804621894875873280,0,0,1
1,O ORG PRO VER VER VER O O O,805713842575589376,0,0,1
-1,,803753660106887168,0,0,1
-1,,802836876373749760,0,0,1
-1,,804358172144062464,0,0,1
-1,,803369159887323136,0,0,1
1,ORG PRO VER VUL VUL VUL VUL VUL VUL,804841402395926528,0,0,1
1,O ORG PRO PRO VER VER VER O O O VUL VUL,809008917116284928,0,0,1
1,ORG O O O O O O O VUL VUL VUL O,803708892274245632,0,0,1
-1,,802353812887523328,0,0,1
-1,,803078552828710913,0,0,1
1,O ORG PRO O O VUL VUL VUL VUL VUL O O,803761264182706176,0,0,1
-1,,806104515124559872,0,0,1
1,O ID O O O ORG O O O O O PRO O O O O,808889397131218944,0,0,1
-1,,806135191416803328,0,0,1
-1,,803290626657779712,0,0,1
-1,,803834329432543232,0,1,1
-1,,802148728274558976,0,0,1
-1,,802610381126438912,0,0,1
-1,,804358243996864517,1,0,1
1,O ORG ORG PRO O O O O ID O O VUL VUL VUL,803363082483499009,0,1,1
1,ORG O O O O O PRO O O O O O O,808797423145365504,0,0,1
1,O O ORG PRO PRO VER VUL VUL VUL VUL VUL VUL O,805556094491889664,0,0,1
-1,,802151798735781893,0,0,1
-1,,806213440226398208,0,0,1
1,PRO VER VER VER O ID ID,803663775433977856,0,0,1
-1,,802629503000473600,0,0,1
-1,,804060756262129664,0,0,1
-1,,805829420661481476,0,0,1
-1,,804046274014183428,0,0,1
-1,,803554253642072068,0,0,1
1,O PRO VUL VUL VUL VUL VUL VUL VUL O O,804768775404851201,0,0,1
1,ORG O O O O O O O PRO PRO,808852690587516930,0,0,1
-1,,806021046168154112,0,0,1
-1,,808889420577468416,0,0,1
1,O ORG O O O O O PRO PRO VER VUL VUL VUL,804793736563662852,1,1,1
1,O O PRO VER VER VER O O VUL VUL VUL VUL VUL O O,806284615707226112,0,0,1
1,ORG PRO VER O VUL VUL VUL VUL,804774732805586944,0,0,1
-1,,809213487968911360,0,0,1
1,O ORG PRO O O O VUL VUL VUL,805796151999926276,0,0,1
1,ORG PRO PRO VER VER VER VER VUL VUL,809025512165244928,0,0,1
-1,,803289978415550464,0,0,1
1,O ORG PRO PRO VER VER VER VUL VUL ID,809008919200854020,0,0,1
1,ORG PRO O O ORG ORG PRO PRO O,803299552757501953,1,1,1
-1,,807325742157729796,0,0,1
1,ORG PRO VER O VUL VUL VUL VUL ORG PRO VER O O O,804723901683142660,0,0,1
1,O ORG PRO VER VER VER O O O,804659181106118656,0,0,1
1,O O ORG PRO PRO VER O O O O O O VUL ID,807303712905580545,0,0,1
-1,,804770898746208256,1,0,1
1,ORG PRO VER VER VER VER VER VUL VUL ID,809025472944336896,0,0,1
-1,,820666105597464576,0,0,1
-1,,804641270635302913,0,0,1
-1,,809443219331252225,0,0,1
-1,,803992117680934912,0,0,1
-1,,804376102676340736,0,0,1
1,ORG PRO VER O O O PRO O,805970047625621504,0,0,1
-1,,804131374844231680,0,1,1
1,O O PRO VUL VUL VUL O,820061647687458816,1,1,1
-1,,805826597005602816,1,0,1
1,O ORG PRO ID VUL VUL VUL PRO VER PRO VER,816208379018440704,1,1,0
1,O ORG PRO ID VUL VUL VUL,805790986529972225,0,0,1
-1,,804238208699629568,0,0,1
-1,,805761249212530688,1,1,1
1,O PRO O O VER VUL VUL,805819449265836032,0,0,1
1,O ORG PRO PRO ID VUL VUL VUL VUL VUL,801139998632378369,0,0,1
-1,,805695611051843585,0,0,1
-1,,804256251425083392,1,1,1
1,PRO PRO PRO O O PRO PRO PRO ID ID,804424275750952964,0,1,1
-1,,803761266137235456,0,0,1
-1,,804890469125787648,0,0,1
1,ORG ORG ID ID ID O,804373586777702400,0,1,1
1,O ID ORG PRO PRO VER O O O O VUL VUL O,801086228493897729,0,0,1
1,ORG PRO VER VUL VUL VUL,803796548421382144,0,0,1
-1,,802108110945058818,0,0,1
-1,,803300035819618304,0,0,1
1,ORG PRO O VER VUL VUL VUL VUL VUL VUL ORG PRO O VER O O O,804815830995337222,0,0,1
1,PRO VER O O O O PRO O O,805845828447457281,0,0,1
1,O O O O O O O O O PRO O,803782174499622913,0,1,1
-1,,806021410179215360,1,1,1
1,O ORG PRO PRO VER O O VUL VUL,806197928205414404,0,1,1
1,O O O O ORG O O O O PRO PRO O O O O,803067201448247297,1,0,1
1,ORG O O O O PRO PRO O O,803931114490515456,0,0,1
1,ORG PRO O O VUL VUL O,803652271493873664,1,0,1
1,ORG O O VUL VUL VUL VUL VUL VUL VUL VUL O O,804775450555912192,0,0,1
1,O ORG PRO PRO O PRO O O O VUL VUL VUL,804704616868970496,0,0,1
-1,,804264758526537728,1,0,1
-1,,802278268552572928,0,0,1
1,O ORG PRO PRO VER VUL VUL,805819452151525381,0,0,1
1,PRO VER O ID ID,806213493053603844,0,0,1
1,ORG O O O O O PRO PRO VER VUL VUL VUL,804792485541277696,1,1,1
-1,,804061834017996800,0,0,1
1,O O O O O O O O O PRO VER O,809135801636360192,0,0,1
1,PRO O O VER VUL VUL VUL,805826254297563138,0,0,1
-1,,803113888279576577,0,0,1
1,ORG PRO VER O VUL VUL VUL VUL ORG PRO VER O O O,804769174899851268,0,0,1
1,O ORG O O O O,804754703254962177,0,0,1
-1,,803425819179749376,0,0,1
1,ORG O O O O O PRO VER PRO VER,804324133282709504,0,0,1
1,O O ORG PRO PRO O PRO O O O VUL VUL O,806253273141407744,0,1,1
-1,,803179616374493185,0,0,1
-1,,804233604012216320,0,0,1
-1,,804528015459880961,0,0,1
1,O PRO O O O O,804813755729281026,0,0,1
1,ORG PRO VER O VUL VUL VUL VUL ORG PRO VER O O O,803826997269004288,0,0,1
-1,,804427354613366784,0,0,1
-1,,803962795108737024,0,0,1
-1,,804732467311742976,0,0,1
1,O ORG PRO VER O VUL VUL VUL VUL,804774852150300672,0,0,1
-1,,805720487192096768,1,1,1
-1,,803043347426410497,1,1,1
1,ORG O O O PRO O,804456319868616704,0,0,1
-1,,803360114900135937,0,0,1
1,O O ORG PRO O O VUL VUL VUL VUL VUL O O,804613932837208064,0,0,1
-1,,805565602484121600,0,1,1
-1,,804074795537235968,0,0,1
-1,,802202738020982784,0,0,1
-1,,804297204940865536,0,0,1
1,ORG PRO O VUL VUL VUL VUL O O O O,809165290470866944,0,0,1
-1,,804434084017672192,0,0,1
1,O ORG PRO O O O,801048189193232384,0,0,1
-1,,804380446779768832,0,0,1
1,O ORG PRO O PRO O VUL VUL VUL VUL,801177472368865281,0,1,1
1,O O O ORG PRO PRO VER O PRO VER VUL VUL VUL,804721966372503552,0,0,1
1,O ORG PRO PRO VER VUL VUL VUL VUL VUL VUL O O,805448732644818944,0,0,1
-1,,804613134052978692,0,0,1
-1,,802187665093300224,0,0,1
-1,,805828220130050049,0,0,1
1,O O O O O PRO ID VUL VUL VUL VUL,803557232134811648,0,0,1
1,O ORG PRO O VER VER VER VER VER O VER O PRO VUL VUL VUL,802059861949288448,0,0,1
-1,,803360419805069312,1,1,1
1,O O O O O O O O O O O O PRO O,804052965967466496,0,1,1
-1,,803309499465482241,1,1,1
1,ORG PRO PRO PRO PRO PRO VER VER VER O ORG PRO VUL VUL,804277984161042432,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL VUL VUL,805729446036729856,0,0,1
-1,,802761369582010369,0,0,1
1,ORG PRO O O VER VUL VUL VUL VUL VUL VUL VUL,804528205138890752,0,1,1
1,O ORG O O O O O ID VUL VUL VUL VUL O,806078651783487489,0,0,1
-1,,802227948963164162,0,0,1
-1,,817115571489796098,0,0,1
1,ORG PRO VER VER VER O VUL VUL,809785064892624897,0,0,1
-1,,806731147107385344,0,0,1
-1,,805941136170905600,1,1,1
1,O PRO PRO PRO PRO O PRO VUL VUL VUL,808964849820639232,1,1,1
-1,,808009413449699328,0,0,1
-1,,802133476522754048,0,0,1
-1,,819444668328976384,0,0,1
-1,,802220084597059585,0,0,1
-1,,802746317294501888,0,0,1
-1,,809457863760420864,0,0,1
1,O ID O O O PRO PRO ID O O O O O O,808775322279809025,0,0,1
1,O ORG PRO PRO VER VUL VUL VUL VUL VUL VUL O O,805395889871147008,0,0,1
1,PRO VER O O O O VUL VUL,809087886834409472,0,0,1
-1,,806048576614830081,1,1,1
1,O PRO VUL VUL VUL VUL VUL VUL VUL O O,804972998495117312,0,0,1
-1,,807405732262006784,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL,805729325098078208,0,0,1
-1,,806218721966571520,0,0,1
1,O ORG PRO PRO VER VUL VUL VUL VUL,805536956386045952,0,0,1
-1,,802038322071830528,0,0,1
1,O O ORG PRO VER VER VER O O O,805724775943389184,0,0,1
1,O O O ORG PRO VUL VUL VUL VUL VUL O,809069210483601408,0,0,1
-1,,806247325236678657,0,0,1
1,O O O O O O O O O O O O O ORG PRO PRO O,802150510929309700,0,0,1
-1,,803527080000581632,0,0,1
1,PRO VER PRO ID ID,806920650396930048,1,0,1
-1,,809460093490266112,0,0,1
1,O ORG PRO PRO VER O O O VUL VUL VUL VUL O O,807626102180958209,0,0,1
1,O ORG PRO O O VER O VUL VUL VUL VUL,805536954825736192,0,0,1
1,PRO VER O O O O VUL VUL,809081674801745920,0,0,1
1,O O O O O O O PRO VER VER O O,805161415258632192,0,0,1
-1,,806377835095031808,0,0,1
-1,,805947515644346368,1,1,1
1,ORG ORG ID ID ID O,805067846409601030,1,1,1
1,O O O O O O O ORG O O O,808622135891623936,0,0,1
1,O O O O ORG PRO PRO O O,808687827756138496,0,0,1
1,O ORG PRO PRO VER O O O O O O VUL O O,808017813604429824,0,0,1
1,ORG PRO O O O VUL VUL VUL O,805343432264720384,0,0,1
-1,,806960780604219392,0,0,1
1,O ORG PRO PRO O VUL VUL VUL VUL,806979027336646656,0,0,1
1,O O O O O O O O O O PRO VER O,809136019882774529,0,0,1
-1,,802526900518289408,0,0,1
1,O O O O O O O O PRO O O,807621847797944320,0,0,1
-1,,803363087139082241,0,0,1
-1,,806109765013303296,0,1,1
-1,,806891019841273856,0,0,1
-1,,809528230986313732,0,0,1
-1,,808659461183336448,1,1,1
-1,,808764816831774720,0,0,1
-1,,806769031155879936,0,1,1
1,O ID O O O O O O PRO O ORG O,806529125431345152,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL VUL VUL O,805729932898811904,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL VUL VUL,805729326935187456,0,0,1
1,O O O O O PRO VER O O VUL VUL O PRO,803744722137137152,0,0,1
-1,,807704704272728065,0,0,1
1,ORG O O O O O O O O O O O O O,808748353144004608,0,0,1
1,O PRO VER VUL VUL O O O,808278543276896257,0,0,1
1,ORG O O O PRO O O O,808778424730918912,0,0,1
-1,,805858049520963584,0,0,1
1,O O O O O O PRO VUL VUL O O O PRO O VUL VUL VUL,806907210580172800,0,0,1
-1,,807945132519657472,0,0,1
1,O ORG PRO PRO VER VER VER VER VUL VUL VUL,809026562674802688,0,0,1
1,O ORG PRO PRO O O O VUL VUL VUL VUL VUL VUL VUL VUL,808787421139791873,0,0,1
-1,,808649464844009472,0,0,1
1,O O O O O O O O O PRO O,804844994901196800,0,0,1
-1,,808564116398940162,0,0,1
1,O ID ORG PRO VER VER VER O PRO O VUL VUL VUL VUL O PRO O,810693988705595392,0,0,1
1,O ORG PRO PRO VER VUL VUL VUL,806979011800928256,0,0,1
1,O ORG PRO O O O VUL VUL VUL VUL O O,805555866309185538,0,0,1
1,PRO VER VER VER PRO ID ID,809315633812934656,0,0,1
-1,,806434390536581120,0,0,1
1,ID ORG PRO VER VER VER O VER O O O VER O O O O O,811167152921264128,0,0,1
1,ORG O O O VUL VUL VUL VUL ORG ORG O O O O O,806964680715595778,0,1,1
1,O O O O O O ORG O O O,808087992602595328,0,0,1
1,O O O O O O ORG PRO PRO,807390489091653633,0,0,1
1,O ID O O O O PRO PRO ID O VER,808776137635692544,0,0,1
1,ORG PRO PRO O O O VUL,808368171870814208,0,0,1
1,O ORG PRO PRO VER O O O VUL VUL VUL VUL O O,807999310570758144,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL VUL,805751850519535616,0,0,1
-1,,804319409884069888,0,0,1
1,O ORG PRO PRO VER O O O O O O VUL O O,808080195743715329,0,0,1
-1,,808750710141702145,0,0,1
-1,,806908560529641473,0,0,1
1,ID O O O O O PRO PRO ID O VER,808762288375271425,0,0,1
1,O ORG PRO ID VUL VUL VUL VUL O,808793653363646464,0,0,1
-1,,808769394788749316,0,0,1
-1,,808344379127660544,0,0,1
1,PRO PRO PRO PRO O PRO VUL VUL VUL,808964136256290816,1,1,1
-1,,806345324713439232,0,0,1
1,ORG O O PRO O O O O PRO VUL VUL,805411376873271296,0,0,1
1,ORG PRO PRO VER VUL VUL VUL VUL VUL,810941958592012289,0,0,1
1,O O O O ID O PRO O O O O O O,806770319193014272,0,0,1
-1,,806590554394005505,0,0,1
1,O PRO PRO PRO PRO O PRO O O VUL VUL,808646564898017280,1,1,1
1,O ORG PRO PRO VER O O O VUL VUL VUL VUL O O,807680370124521472,0,0,1
1,PRO VER O O O O O O O O O,807459731103162368,0,0,1
-1,,806916331803029504,0,0,1
1,O O O PRO PRO VER O PRO VUL VUL,807892290744283137,0,0,1
1,ORG O PRO O O O O O,808713573732089856,0,0,1
1,ORG PRO PRO O PRO O O O VUL VUL ID,806415553669828608,0,1,1
-1,,805450471125254145,0,0,1
-1,,806857138198880256,0,0,1
1,O ID O O O O O O PRO O ORG O,806555360244989953,0,0,1
1,O ID O O O ORG PRO O O O O O O O O PRO,809961609791676416,0,0,1
-1,,806899845814435840,0,0,1
-1,,808315168258015233,0,0,1
-1,,808386930467606529,0,0,1
-1,,807789531168653312,0,0,1
-1,,807377553543536640,0,0,1
1,O PRO VER VUL VUL VUL VUL O O,806943281024299008,0,0,1
1,VUL VUL VUL O O PRO O,806362994812846082,0,0,1
1,O ORG PRO VER VUL VUL VUL VUL VUL VUL,806976523618107392,0,0,1
-1,,806577585840934913,0,0,1
1,ID ID ORG PRO PRO O PRO O O O VUL VUL VUL O VUL VUL,808779625233006593,0,0,1
1,ORG PRO VER PRO PRO VER VUL VUL VUL,805871435411505153,0,0,1
1,O O O PRO O ORG O VER VUL VUL,806753765265018880,0,0,1
1,ID ID ORG PRO PRO O PRO O O O VUL VUL VUL O VUL VUL,808801721388593153,0,0,1
1,O ORG PRO PRO O O O O O VUL VUL VUL VUL O,808796173670682624,0,0,1
-1,,808477979093372928,1,1,1
-1,,806879051738710020,0,0,1
1,ID O O O O O PRO PRO ID O VER,808775383378231300,0,0,1
1,O ID ID ORG PRO PRO PRO O VUL VUL O O ID ID,808410952513257473,0,0,1
1,O ORG PRO ID VUL VUL VUL VUL,808809376895025152,0,0,1
1,PRO PRO PRO O PRO O VER VUL VUL O O,809159808045592576,1,1,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL,808808617730314240,0,0,1
1,ORG O O O O O PRO O O O O O,808792773705003008,0,0,1
-1,,808736054593388544,0,0,1
-1,,808759671234314246,0,0,1
-1,,810814437720551424,0,0,1
1,O ORG PRO PRO O O O O,808340664756731905,0,0,1
-1,,817175281500819456,1,1,1
1,O O VUL VUL VUL VUL O ORG PRO,808520137577992194,0,0,1
-1,,806958587067166721,0,0,1
-1,,806615464197705734,0,0,1
-1,,808552937714761728,0,0,1
-1,,820572655975809024,0,0,1
-1,,804264865896562689,0,0,1
-1,,810552964129681408,0,0,1
1,PRO PRO O O PRO PRO PRO ID ID,806679011183169536,0,1,1
1,O ORG PRO PRO VER O O O O O VUL ID,809478966386053120,0,0,1
1,PRO O O PRO PRO PRO ID O,803274786713391104,1,1,1
1,O ORG PRO PRO VER VUL VUL VUL VUL VUL VUL,809112064069398528,0,0,1
1,ORG PRO PRO VER O O O VUL,809477432646533123,0,0,1
-1,,809200090032259074,0,0,1
-1,,808761018952380416,0,0,1
1,ORG PRO O O O VUL VUL VUL VUL VUL VUL VUL VUL O O,808777907103531008,0,0,1
1,O ID ID ORG PRO PRO O PRO O O O VUL VUL VUL O VUL VUL O,808821932837715972,0,0,1
1,O ORG PRO PRO VER O O O O O O O O O,808491662406086658,0,0,1
1,O O PRO PRO PRO PRO O PRO VUL VUL VUL O O O,808760993757143042,1,1,1
1,O ID ORG PRO PRO O O VUL VUL VUL VUL VUL VUL O,808793802492276737,0,0,1
1,ID ID ORG PRO PRO VUL VUL VUL VUL VUL O ORG,820156016868241408,0,0,1
1,ORG O O O O O O PRO VER O O O,808870309327577089,0,0,1
-1,,807203777006727172,0,0,1
-1,,802137362335723520,1,1,1
1,O ID O O ORG PRO VER VER VER O O ORG PRO VER VER VER,810413505555943424,0,0,1
-1,,809442930473607168,0,0,1
-1,,808775328797753344,0,0,1
1,O ORG PRO PRO ID VUL VUL VUL VUL VUL VUL,809144787358154756,0,0,1
1,ORG PRO PRO VER VER VER VER VUL VUL VUL,809025500421259264,0,0,1
-1,,808798563593519108,0,0,1
-1,,809197782808543232,0,0,1
-1,,804764821958905856,1,0,1
1,ID O O O O ORG PRO ID O VER,819688960033177600,0,0,1
1,O ORG PRO VUL VUL VUL VUL,809097092769652736,0,0,1
1,O VUL VUL VUL O PRO PRO O O O O,808131720235118592,0,0,1
1,ORG PRO PRO O PRO ID VUL VUL VUL VUL O O O,808770366520913922,0,0,1
1,O ID O O O O O O ID O O O O O O,808775310946828290,0,0,1
1,O ORG PRO PRO O O O,808341299908771840,0,0,1
-1,,807272119247761408,0,0,1
1,O ORG PRO PRO VER VER VER VER VUL VUL VUL,809026568714616835,0,0,1
-1,,808734887016538113,0,0,1
1,ID O O O O PRO PRO ID O VER,809199329558876160,0,0,1
1,O O O O ORG O O O O O O O,808233331125080064,0,0,1
1,PRO PRO PRO PRO O PRO O O VUL VUL,808630892667293696,1,1,1
-1,,808955546149777408,0,0,1
-1,,808754807964110848,0,0,1
-1,,805528615744114689,0,0,1
1,O PRO VER O O O O O,805653164691222528,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL O,805728454163382272,0,0,1
1,O ID ORG PRO PRO O VER O ORG PRO PRO O VER O O,809363040613371904,0,0,1
1,O O O O ORG O O O O O O O,808259693374296064,0,0,1
-1,,809071538511159296,0,0,1
-1,,804116041219670016,0,0,1
1,ORG PRO VER VER VER O O VUL VUL,809025478782750720,0,0,1
-1,,809165683720421376,1,0,1
-1,,805909820838649856,0,0,1
